iter	Passed	Remaining
404	8530	96781
405	8554	96796
406	8573	96757
407	8597	96762
408	8618	96742
409	8641	96744
410	8671	96816
411	8698	96867
412	8734	97010
413	8760	97046
414	8787	97087
415	8813	97122
416	8841	97169
417	8871	97245
418	8902	97336
419	8929	97369
420	8952	97372
421	8974	97356
422	8992	97304
423	9013	97278
424	9032	97232
425	9051	97187
426	9071	97156
427	9091	97117
428	9113	97100
429	9132	97063
430	9155	97055
431	9177	97041
432	9198	97014
433	9217	96974
434	9235	96919
435	9254	96871
436	9273	96830
437	9293	96798
438	9311	96742
439	9330	96698
440	9354	96708
441	9374	96672
442	9395	96648
443	9417	96633
444	9436	96586
445	9455	96546
446	9476	96525
447	9494	96472
448	9512	96418
449	9530	96361
450	9547	96301
451	9567	96265
452	9587	96236
453	9605	96183
454	9623	96129
455	9641	96076
456	9659	96029
457	9678	95979
458	9699	95961
459	9718	95917
460	9736	95864
461	9754	95816
462	9778	95821
463	9798	95790
464	9818	95759
465	9842	95767
466	9873	95838
467	9904	95912
468	9937	96002
469	9959	95997
470	9982	95992
471	10006	95992
472	10032	96019
473	10062	96085
474	10092	96148
475	10112	96115
476	10131	96071
477	10149	96015
478	10168	95971
479	10187	95934
480	10206	95892
481	10225	95844
482	10243	95795
483	10262	95755
484	10280	95707
485	10300	95668
486	10324	95675
487	10344	95639
488	10363	95603
489	10384	95584
490	10406	95563
491	10427	95545
492	10448	95522
493	10470	95505
494	10491	95481
495	10510	95443
496	10531	95416
497	10550	95378
498	10568	95326
499	10588	95299
500	10609	95276
501	10635	95294
502	10656	95271
503	10679	95272
504	10700	95242
505	10719	95206
506	10745	95222
507	10765	95191
508	10785	95163
509	10807	95144
510	10828	95123
511	10854	95142
512	10877	95143
513	10900	95137
514	10920	95107
515	10941	95077
516	10962	95056
517	10983	95033
518	11003	95005
519	11024	94976
520	11045	94955
521	11068	94949
522	11087	94910
523	11113	94930
524	11134	94909
525	11161	94934
526	11183	94920
527	11203	94890
528	11223	94855
529	11244	94833
530	11266	94817
531	11285	94779
532	11304	94744
533	11323	94705
534	11345	94686
535	11367	94670
536	11387	94641
537	11407	94611
538	11429	94597
539	11450	94572
540	11469	94534
541	11490	94513
542	11512	94492
543	11531	94453
544	11554	94448
545	11575	94426
546	11596	94405
547	11618	94386
548	11637	94351
549	11659	94337
550	11680	94309
551	11700	94283
552	11721	94261
553	11741	94231
554	11761	94198
555	11784	94189
556	11804	94162
557	11825	94134
558	11847	94121
559	11868	94104
560	11890	94081
561	11910	94051
562	11929	94015
563	11950	93994
564	11971	93970
565	11990	93933
566	12010	93903
567	12033	93897
568	12054	93871
569	12074	93841
570	12093	93807
571	12112	93765
572	12131	93729
573	12150	93686
574	12170	93659
575	12187	93610
576	12204	93555
577	12223	93512
578	12245	93498
579	12264	93462
580	12289	93468
581	12308	93434
582	12327	93395
583	12347	93365
584	12369	93349
585	12386	93299
586	12405	93263
587	12425	93230
588	12444	93193
589	12466	93184
590	12484	93137
591	12502	93095
592	12526	93091
593	12552	93106
594	12578	93124
595	12605	93144
596	12633	93171
597	12660	93193
598	12682	93183
599	12709	93203
600	12733	93200
601	12758	93207
602	12784	93220
603	12812	93249
604	12838	93265
605	12864	93278
606	12883	93243
607	12902	93204
608	12922	93174
609	12940	93132
610	12960	93097
611	12978	93052
612	12997	93020
613	13016	92979
614	13035	92942
615	13053	92899
616	13072	92864
617	13090	92821
618	13109	92784
619	13131	92770
620	13151	92734
621	13172	92716
622	13193	92693
623	13213	92667
624	13232	92630
625	13253	92604
626	13272	92568
627	13291	92531
628	13315	92534
629	13344	92562
630	13365	92540
631	13385	92512
632	13404	92476
633	13426	92459
634	13447	92440
635	13468	92414
636	13488	92385
637	13509	92361
638	13530	92339
639	13551	92316
640	13571	92287
641	13592	92268
642	13614	92250
643	13634	92225
644	13655	92202
645	13674	92168
646	13694	92138
647	13715	92111
648	13736	92093
649	13757	92072
650	13778	92047
651	13801	92038
652	13823	92021
653	13846	92011
654	13866	91982
655	13886	91958
656	13908	91938
657	13935	91957
658	13956	91932
659	13975	91900
660	13995	91870
661	14018	91862
662	14039	91837
663	14060	91814
664	14080	91788
665	14101	91767
666	14127	91775
667	14147	91749
668	14175	91772
669	14197	91752
670	14223	91765
671	14244	91743
672	14264	91712
673	14286	91694
674	14309	91686
675	14331	91667
676	14352	91645
677	14373	91626
678	14393	91597
679	14414	91575
680	14435	91554
681	14456	91530
682	14476	91500
683	14498	91484
684	14519	91463
685	14542	91449
686	14562	91423
687	14582	91396
688	14603	91375
689	14625	91354
690	14647	91337
691	14669	91321
692	14689	91294
693	14709	91265
694	14731	91249
695	14754	91243
